Holz,m,wood
Katastrophe,f,catastrophe
Kohle,f,coal
Ölteppich,m,oil slick
Regenwald,m,rainforest
Sauerregen,m,acid rain
Tierart,f,animal species
Tornado,m,tornado
Treibhauseffekt,m,greenhouse effect
Überschwemmung,f,flood
Umwelt,f,environment
Verkehr,m,traffic
Verkehrsstau,m,traffic jam
Welle,f,wave
Welt,f,world
Bilderroman,m,graphic novel
Dokumentation,f,documentary
Eingang,m,entrance
Eintritt,m,admission
Fan,m,fan
Fernsehsendung,f,television programme
Fernseher,m,television
Gameshow,f,game show
Gruselfilm,m,horror film
Karte,f,ticket
Komödie,f,comedy
Mode,f,fashion
Nachrichtensendung,f,news broadcast
Platz,m,seat
Preis,m,price
Seifenoper,f,soap opera
Sender,m,broadcaster
Sendung,f,programme
Serie,f,series
Sitcom,f,sitcom
Sitz,m,seat
Star,m,star
Tagesschau,f,television news
Trickfilm,m,cartoon
Vorstellung,f,performance
Werbespot,m,advertisement
Zeitung,f,newspaper
Bildschirm,m,screen
Chatroom,m,chat room
Computer,m,computer
Cursor,m,cursor
Maus,f,mouse
Musik,f,music
SMS,f,text message
Software,f,software
Tastatur,f,keyboard
Website,f,website
Ausflug,m,outing
Ausgang,m,exit
Braut,f,bride
Bräutigam,m,bridegroom
Flasche,f,bottle
Feiertag,m,public holiday
Freizeitpark,m,theme park
Geburtstag,m,birthday
Hochzeit,f,wedding
Kuchen,m,cake
Ring,m,ring
Serviette,f,serviette
Tiergarten,m,zoo
Tischdecke,f,table cloth
Verlobung,f,engagement
Vorstellung,f,show
Wasserpark,m,water park
Zeremonie,f,ceremony
Zirkus,m,circus
Zoo,m,zoo
Angelrute,f,fishing rod
Ball,m,ball
Blockflöte,f,recorder
Disko,f,disco
Eisbahn,f,skating rink
Flöte,f,flute
Freizeit,f,free time
Fußball,m,football
Gartenarbeit,f,gardening
Geige,f,violin
Imbissstube,f,snack bar
Jugendklub,m,youth club
Kegelbahn,f,bowling alley
Leichtathletik,f,athletics
Mannschaft,f,team
Nachtklub,m,nightclub
Roman,m,novel
Schläger,m,racket
Trommel,f,drum
Trompete,f,trumpet
Abteilung,f,department
Ausverkauf,m,clearance sale
Auswahl,f,selection
Bäckerei,f,bakers shop
Bank,f,bank
Buchhandlung,f,bookshop
Debitkarte,f,debit card
Größe,f,size
Hut,m,hat
Kasse,f,till
Kreditkarte,f,credit card
Laden,m,small shop
Markt,m,market
Metzgerei,f,butcher's shop
Münze,f,coin
Preis,m,price
Rechnung,f,bill
Reisescheck,m,travellers cheque
Schaufensterbummel,m,window shopping
Scheck,m,cheque
Schlussverkauf,m,end of season sale
Souvenirladen,m,souvenir
Sparkasse,f,savings bank
Supermarkt,m,supermarket
Tasche,f,bag
Wechselstube,f,bureau de change
